utility_payment_punctuality_score,wallet_txn_regularity,wallet_avg_monthly_txn_count,subscription_payment_consistency,employment_stability_months,education_level,avg_monthly_income_proxy,rent_payment_punctuality,has_rent_data,months_of_data_available,creditworthy
70.09322082879669,0.6670453693562242,28.332168623212986,69.42573183503455,16.734538163999595,2,8821.151085603957,0.0,0,8,0
64.5663131695082,0.2853356814340946,32.21044903657308,59.61775230582214,22.682764718286922,1,38107.46429991078,0.0,0,17,1
59.005873155648466,0.0,19.50383951250816,49.3484195636088,14.697724642457102,0,4000.0,46.11618188859055,1,22,1
71.92643363695525,0.2789835569624863,24.692886889228216,41.346402000255765,13.160563380008805,2,10619.857342943405,53.38846603784629,1,13,0
57.2143010744764,0.15201600771264248,17.338897964763962,15.355723013445246,24.634042636439204,1,11198.2756355628,36.131610618414456,1,14,1
100.0,0.7056545913614072,29.85341542143238,100.0,14.026988328724057,2,31261.145376902306,91.83389019254315,1,20,1
45.339666909445306,0.17334227704382124,8.74685006872041,44.427661254444175,18.76804063179238,1,6041.675843030163,49.978991188293676,1,4,1
53.73575258966669,0.5497175668520207,34.97428877080245,66.21855398731921,17.515888786349933,1,4000.0,0.0,0,23,0
84.44736008443317,0.9001683327714469,30.239520176216136,100.0,24.61930873299137,1,18176.67644823675,0.0,0,12,1
79.38656094864452,0.15834793344204245,25.162693976459217,54.45740629418893,11.513764037221643,0,29276.581606083993,70.65062883727586,1,10,0
70.78727035538812,0.4171486231304649,19.362210362380242,70.42889722349848,30.36467083333084,1,7779.855682910838,82.90797920360214,1,15,1
72.27820180076074,0.6088957427081861,22.02080542617616,57.15925723707949,9.38078626559108,1,24032.325465794944,0.0,0,22,1
93.0834387881131,0.6919001182059157,24.8617011197835,76.34652111069505,19.621224488733333,1,23469.43647778981,100.0,1,22,1
71.98553118783748,0.39361670873024934,26.299625950230922,47.64914821067367,18.066415763920723,2,20507.595638305043,0.0,0,19,0
52.471052068166884,0.4672110335027783,26.36939576794652,26.104716616930368,8.711778652838854,0,17327.737224339653,32.7857340202577,1,13,1
82.10418390276114,0.4729030779341661,31.19956961712666,67.4499473478074,20.76059796216881,2,16567.443861967473,80.69242474492643,1,6,1
80.47767667475605,0.5591368249042624,23.26703162992986,65.87769306192325,12.190773553301502,2,24383.41225903391,0.0,0,6,1
89.51428714033932,0.6641809647489385,24.51466004236136,82.96157117772263,6.50221546442771,1,21607.83664544133,87.50602853794447,1,20,1
67.4279123766846,0.3490656605567593,21.252703409573545,35.901631102020076,22.577002804463287,1,5498.943628089751,53.53186022490282,1,5,0
50.962969041000235,0.30426117047304674,26.811974307242984,55.55295528651824,4.526429266265338,2,12200.516922923229,55.10135071523974,1,13,0
77.30076546878142,0.6315500830952234,20.17626665414255,82.23898338043125,7.5734041844888536,2,17443.200190486736,70.53174258235782,1,11,1
57.846825493220656,0.23275585929507409,25.166465300374202,53.57122617506406,14.575132029258091,1,4000.0,34.77434575157473,1,17,1
39.3588600157897,0.19706160988006025,16.941472491282706,29.034135433312084,24.510324959689186,2,4000.0,45.144519335947145,1,10,0
78.43021197118769,0.4434040459049105,25.59199173621061,71.37624471303258,21.646072115569286,0,21957.186773447356,67.15291360895701,1,17,0
91.11243509555361,0.8431723348628231,24.6850228993007,64.07529494749491,16.547799066568516,1,21938.658439167863,0.0,0,13,1
63.71874330269288,0.4436423086798346,25.613204537175292,72.58609334074112,3.235933769047993,1,21274.775099905994,61.53039752189722,1,21,1
90.07312156273001,0.6081154759135501,25.644405381763356,61.24570829071612,9.041461452244226,1,26267.325151933757,0.0,0,6,1
63.38722897112083,0.7234578307679005,26.210102542953653,86.56914242061852,10.688771233289273,0,12859.248269127596,0.0,0,18,0
74.84803579909945,0.5332750959876482,21.03148607278809,72.86496243961889,6.241199853450733,0,11550.315943606474,80.15955819446252,1,18,1
64.50607144312613,0.6408693758217341,21.407889470091256,72.60506776986827,2.411025252167289,0,6456.229254624293,77.33853175075718,1,20,1
81.05548171227166,0.5215982596521536,29.047414335988694,91.23805192383752,15.085865362194689,2,25718.649137045137,0.0,0,13,1
58.90962910702778,0.43822502015978526,17.10724827081911,50.51732349066395,22.110335856558976,1,11176.853902140989,0.0,0,9,1
76.08595437417613,0.5859310015205468,26.319134436872975,68.73181888995126,10.04627430604629,2,26599.299879851882,0.0,0,13,1
